date,SPX,EEM,XAU,USTTEN,USDCOP
2021-09-15,1.0,0.0,1.0,1.0,1.0
2021-09-22,1.0,0.0,1.0,1.0,1.0
2021-09-29,1.0,0.0,1.0,1.0,1.0
2021-10-06,1.0,0.0,1.0,1.0,1.0
2021-10-13,1.0,0.0,1.0,1.0,1.0
2021-10-20,1.0,0.0,1.0,1.0,1.0
2021-10-27,1.0,0.0,1.0,1.0,1.0
2021-11-03,1.0,0.0,1.0,1.0,1.0
2021-11-10,1.0,0.0,1.0,1.0,1.0
2021-11-17,1.0,0.0,1.0,1.0,1.0
2021-11-24,1.0,0.0,1.0,1.0,1.0
2021-12-01,1.0,0.0,1.0,1.0,1.0
2021-12-15,1.0,0.0,1.0,1.0,1.0
2021-12-22,1.0,0.0,1.0,1.0,1.0
2021-12-29,1.0,0.0,1.0,1.0,1.0
2022-01-05,1.0,0.0,1.0,1.0,1.0
2022-01-12,1.0,0.0,1.0,1.0,1.0
2022-01-19,1.0,0.0,1.0,1.0,1.0
2022-01-26,1.0,0.0,1.0,1.0,1.0
2022-02-02,1.0,0.0,1.0,1.0,1.0
2022-02-09,1.0,0.0,1.0,1.0,1.0
2022-02-16,1.0,0.0,1.0,1.0,1.0
2022-02-23,1.0,0.0,1.0,1.0,1.0
2022-03-02,1.0,0.0,1.0,1.0,1.0
2022-03-09,1.0,0.0,1.0,1.0,1.0
2022-03-16,1.0,0.0,1.0,1.0,1.0
2022-03-23,1.0,0.0,1.0,1.0,1.0
2022-03-30,1.0,0.0,1.0,1.0,1.0
2022-04-06,1.0,0.0,1.0,1.0,1.0
2022-04-13,1.0,0.0,1.0,1.0,1.0
2022-04-20,1.0,0.0,1.0,1.0,1.0
2022-04-27,1.0,0.0,1.0,1.0,1.0
2022-05-04,1.0,0.0,1.0,1.0,1.0
2022-05-11,1.0,0.0,1.0,1.0,1.0
2022-05-18,1.0,0.0,1.0,1.0,1.0
2022-05-25,1.0,0.0,1.0,1.0,1.0
2022-06-01,1.0,0.0,1.0,1.0,1.0
2022-06-08,1.0,0.0,1.0,1.0,1.0
2022-06-15,1.0,0.0,1.0,1.0,1.0
2022-06-22,1.0,0.0,1.0,1.0,1.0
2022-06-29,1.0,0.0,1.0,1.0,1.0
2022-07-06,1.0,0.0,1.0,1.0,1.0
2022-07-13,1.0,0.0,1.0,1.0,1.0
2022-07-27,1.0,0.0,1.0,1.0,1.0
2022-08-03,1.0,0.0,1.0,1.0,1.0
2022-08-10,1.0,0.0,1.0,1.0,1.0
2022-08-17,1.0,0.0,1.0,1.0,1.0
2022-08-24,1.0,0.0,1.0,1.0,1.0
2022-08-31,1.0,0.0,1.0,1.0,1.0
2022-09-07,1.0,0.0,1.0,1.0,1.0
2022-09-14,1.0,0.0,1.0,1.0,1.0
2022-09-21,0.0,1.0,1.0,1.0,1.0
2022-09-28,0.0,1.0,1.0,1.0,1.0
2022-10-05,0.0,1.0,1.0,1.0,1.0
2022-10-12,0.0,1.0,1.0,1.0,1.0
2022-10-19,0.0,1.0,1.0,1.0,1.0
2022-10-26,0.0,1.0,1.0,1.0,1.0
2022-11-02,0.0,1.0,1.0,1.0,1.0
2022-11-09,0.0,1.0,1.0,1.0,1.0
2022-11-16,0.0,1.0,1.0,1.0,1.0
2022-11-23,0.0,1.0,1.0,1.0,1.0
2022-11-30,0.0,1.0,1.0,1.0,1.0
2022-12-07,0.0,1.0,1.0,1.0,1.0
2022-12-14,1.0,0.0,1.0,1.0,1.0
2022-12-21,1.0,0.0,1.0,1.0,1.0
2022-12-28,1.0,0.0,1.0,1.0,1.0
2023-01-04,1.0,0.0,1.0,1.0,1.0
2023-01-11,1.0,0.0,1.0,1.0,1.0
2023-01-18,1.0,0.0,1.0,1.0,1.0
2023-01-25,1.0,0.0,1.0,1.0,1.0
2023-02-01,1.0,0.0,1.0,1.0,1.0
2023-02-08,1.0,0.0,1.0,1.0,1.0
2023-02-15,1.0,0.0,1.0,1.0,1.0
2023-02-22,1.0,0.0,1.0,1.0,1.0
2023-03-01,1.0,0.0,1.0,1.0,1.0
2023-03-08,1.0,0.0,1.0,1.0,1.0
2023-03-15,1.0,0.0,1.0,1.0,1.0
2023-03-22,1.0,0.0,1.0,1.0,1.0
2023-03-29,1.0,0.0,1.0,1.0,1.0
2023-04-05,1.0,0.0,1.0,1.0,1.0
2023-04-12,1.0,0.0,1.0,1.0,1.0
2023-04-19,1.0,0.0,1.0,1.0,1.0
2023-04-26,1.0,0.0,1.0,1.0,1.0
2023-05-03,1.0,0.0,1.0,1.0,1.0
2023-05-10,1.0,0.0,1.0,1.0,1.0
2023-05-17,1.0,0.0,1.0,1.0,1.0
2023-05-24,1.0,0.0,1.0,1.0,1.0
2023-05-31,1.0,0.0,1.0,1.0,1.0
2023-06-07,0.0,1.0,1.0,1.0,1.0
2023-06-14,1.0,0.0,1.0,1.0,1.0
2023-06-21,1.0,0.0,1.0,1.0,1.0
2023-06-28,1.0,0.0,1.0,1.0,1.0
2023-07-05,1.0,0.0,1.0,1.0,1.0
2023-07-12,1.0,0.0,1.0,1.0,1.0
2023-07-19,1.0,0.0,1.0,1.0,1.0
2023-07-26,1.0,0.0,1.0,1.0,1.0
2023-08-02,1.0,0.0,1.0,1.0,1.0
2023-08-09,1.0,0.0,1.0,1.0,1.0
2023-08-16,1.0,0.0,1.0,1.0,1.0
2023-08-23,1.0,0.0,1.0,1.0,1.0
2023-08-30,1.0,0.0,1.0,1.0,1.0
2023-09-06,1.0,0.0,1.0,1.0,1.0
2023-09-13,1.0,0.0,1.0,1.0,1.0
2023-09-20,1.0,0.0,1.0,1.0,1.0
2023-09-27,1.0,0.0,1.0,1.0,1.0
2023-10-04,1.0,0.0,1.0,1.0,1.0
2023-10-11,0.0,1.0,1.0,1.0,1.0
2023-10-18,1.0,0.0,1.0,1.0,1.0
2023-10-25,1.0,0.0,1.0,1.0,1.0
